Dates,variable,feature_no,feature_name,value
18/11/17 00:00,6,353,"155,1",
19/11/17 00:00,6,353,"155,1",
20/11/17 00:00,6,353,"155,1",
21/11/17 00:00,6,353,"155,1",
22/11/17 00:00,6,353,"155,1",
23/11/17 00:00,6,353,"155,1",
24/11/17 00:00,6,353,"155,1",
25/11/17 00:00,6,353,"155,1","409,2"
26/11/17 00:00,6,353,"155,1","128,07"
27/11/17 00:00,6,353,"155,1","367,42"
28/11/17 00:00,6,353,"155,1",
29/11/17 00:00,6,353,"155,1",
30/11/17 00:00,6,353,"155,1",
01/10/18 00:00,6,353,"155,1",
02/10/18 00:00,6,353,"155,1",
03/10/18 00:00,6,353,"155,1","208,46"
